topic_id,name_en,name_ne,slug,description,sort_order,status
population,Population & Demographics,जनसंख्या र जनसांख्यिकी,population,"How many people live in Nepal, where, and how the population is structured by age and sex.",1,live
economy,Economy,अर्थतन्त्र,economy,"Prices, output, remittances and the wider economy.",2,live
government,Government & Budgets,सरकार र बजेट,government,"Public budgets, revenue and actual spending.",3,planned
elections,Elections,निर्वाचन,elections,"Election results, candidates and turnout. Aggregate and candidate data only.",4,planned
education,Education,शिक्षा,education,"Literacy, schooling and educational attainment.",5,live
health,Health,स्वास्थ्य,health,"Health facilities, services and outcomes.",6,live
agriculture,Agriculture,कृषि,agriculture,"Production, land use and inputs.",7,planned
infrastructure,Infrastructure,पूर्वाधार,infrastructure,"Roads, electricity, telecommunications and water.",8,planned
environment,Environment & Climate,वातावरण र जलवायु,environment,"Climate observations, hydrology and protected areas.",9,planned
tourism,Tourism,पर्यटन,tourism,"Visitor arrivals and tourism activity.",10,planned
labour,Labour & Migration,श्रम र आप्रवासन,labour,"Employment, foreign employment and migration.",11,planned
geography,Geography,भूगोल,geography,"Nepal's administrative structure: provinces, districts, local units and protected areas.",12,live
